unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
107,The Starry Night,9,"At ease, but also concerned.",4 - Agree,4 - Agree,2 - Disagree,4 - Agree,3,3,10000000,"Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself",Winter,Sparkling water,Classical piano/violin music.
107,The Water Lily Pond,9,"Relaxed, appreciative, happy",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,100000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Strangers,By yourself",Spring,Watermelon,"slow but cheerful, with resemblance of sound of nature like those from water and birds."
108,The Persistence of Memory,6,The painting makes me feel about the way tie elapses with the depiction of clocks and the importance of time and enjoying the present.,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,7,4,150,Office,By yourself,Summer,Pumpkin,Time by Hans Zimmer
108,The Starry Night,7,It makes me feel wonder and appreciate the beauty and magnificence of our world.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,2000000,Living room,Family members,Winter,Caviar,Interstellar 
108,The Water Lily Pond,6,It makes me feel calm and serene and happy.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,1,50000,Bedroom,"Friends,Family members",Spring,Salmon with parsnip  puree and watercress salad,Sound of the shire from Lord of the Rings
109,The Persistence of Memory,9,This painting makes me feel uneasy because it reminds me of my own mortality,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,7,"I have no money :(. If I did, I would pay ~5k","Living room,Dining room",Friends,Fall,chocolate chip muffin.,"slow, synth, quiet. "
109,The Starry Night,6.7,"weightless, calm, ect.",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,3 - Neutral/Unsure,5,4,4000,"Bedroom,Living room","Friends,Family members,By yourself",Winter,overnight oats with blueberries,cocomelon baby lullaby something
109,The Water Lily Pond,8,"Calm, content",4 - Agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,4000,"Bedroom,Living room,Dining room","Friends,Family members","Spring,Summer",Spring mix salad,"upbeat, spring-themed, calm."
110,The Persistence of Memory,9,"feeling about everything dieing, the end of world.",5 - Strongly agree,2 - Disagree,4 - Agree,3 - Neutral/Unsure,3,3,200 cad,"Living room,Dining room",By yourself,Fall,black coffee,"clock ticking, man moaning"
110,The Starry Night,5,it makes me feel magical,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,2,2,500,"Bedroom,Bathroom,Office","Friends,Family members,Coworkers/Classmates",Summer,ice cream,"generally light and calm, with a certain peak that has major note"
110,The Water Lily Pond,9,feel calm and bright,3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,3 - Neutral/Unsure,1,2,400,"Bathroom,Living room","Coworkers/Classmates,Strangers",Spring,apple,"guitar acoustic music, with a light and bright tone"
111,The Persistence of Memory,8,"lonely, isolated, tired",4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,6,10000,Bathroom,By yourself,Winter,stale bread,ocean sounds
111,The Starry Night,8,"happy, hopeful, excited",3 - Neutral/Unsure,5 - Strongly agree,4 - Agree,2 - Disagree,4,12,1000000,Living room,"Friends,Family members",Spring,an ice popsicle,a piano scale
111,The Water Lily Pond,6,"content, ",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,5,3,1000000,Bedroom,Family members,Summer,mom's homecooked meals,leaves rustling
112,The Persistence of Memory,5,kinda peaceful and contemplative at the same time,4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,1,"0, or actually youd have to pay me to take the painting just cause i dont have space and itd be annoying to hold onto",Living room,Friends,Fall,spaghetti?,violin/piano and sort of orchestral maybe
112,The Starry Night,3,the paint technique feels offputting since it's all in lines,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2,2,0,Bathroom,Friends,Winter,hot chocolate,slow and calm sounding with light instruments
112,The Water Lily Pond,6,it feels refreshing and also invokes positive emotion,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,1,3,0,Bedroom,Friends,"Spring,Summer",garden salad,it would probably have flutes/clarinets and some of those other classical woodwind instruments. would be somewhat fast and maybe uses staccato 
113,The Persistence of Memory,6,Despair and a fear of wasting time,4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,4,6,40,Bathroom,Strangers,Winter,bread,sad pianos and violin
113,The Starry Night,8,joyous,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,50,Living room,"Friends,Family members","Spring,Summer",juice,mythical and mysterious
113,The Water Lily Pond,7,fresh,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,30,"Bedroom,Office",By yourself,Spring,salad,bright and joyful
114,The Persistence of Memory,7,"The clock seemed to be lifeless and limp, its colors dull, making me feel uncomfortable and absurd at the same time.",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,6,5,50 bucks,Office,Strangers,Fall,bad milk,The melody is deep and the rhythm is slow.
114,The Starry Night,9,"It made me feel novel and very interesting. Although the pictures were unusual, they still aroused my great interest.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,3,3,200 bucks,Living room,Friends,Summer,A strangely shaped cake,The rhythm is lively and the tone is high.
114,The Water Lily Pond,8,Give a feeling of spring,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,1,2,100 bucks,Bathroom,Family members,Spring,Cool beverage,"The rhythm is gentle, yet it is also very vigorous and full of vitality."
115,The Persistence of Memory,8,"I can feel the depression depicted in the image, the tree is died and the clocks are melted.",4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,3,6,100,Bathroom,Coworkers/Classmates,Summer,Pizza.,"Intense, low tone, slow paced."
115,The Starry Night,6,It makes me feel calm. The background is dramatic and makes me feel like I am in a dream and the world is spinning.,3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,3,2,500,Living room,Family members,Summer,Donut.,"Slow paced, dramatic."
115,The Water Lily Pond,3,It makes me feel calm. It gives me the sense of thriving.,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,1,800,Bedroom,Family members,Spring,Avocado.,"Extremely calm, slow paced, ambient."
116,The Persistence of Memory,6,"Uneasy, anxious, slightly sad",4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,4,6,10000000,"Office,Living room",By yourself,Fall,Pickles,"Slow, soft, melancholic, violin in the background, occasional unsettling spike in rhythm"
116,The Starry Night,7,"A sense of longing, sadness",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,3,3,5000000,"Bedroom,Living room","Family members,By yourself",Winter,Ice cream,"Smooth, slow, melancholic"
116,The Water Lily Pond,4,"Joyful, positive, calm, peaceful",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,2,500000,"Living room,Dining room","Friends,Family members",Spring,Greek salad,"Upbeat, melodic, soothing"
117,The Persistence of Memory,7,"a bit melancholy. The distorted clocks looks out of energy, as if time has went by too quickly.",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,6,0,Bathroom,"Strangers,By yourself",Spring,caramel,piano playing some slightly emotional music
117,The Starry Night,7,"feels in awe, the sky looks interesting. would want to see it in person.",3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,3,3,50,Living room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,fish and chips because of the town energy.,still piano playing some engaging and mysterious tone.
117,The Water Lily Pond,5,"calm, at peace",1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,3,1,80,Bathroom,"Friends,Family members","Spring,Summer","peach, strawberries.",guitar playing calm and chill tones.
118,The Persistence of Memory,6,The dark piece in the bottom right corner makes me feel insecure; it's like a black hole that is sucking everything in.,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,4,5,50,Bathroom,Strangers,Fall,pizza,"clicking sound, also heard sound of a crow."
118,The Starry Night,10,"Dizzy, a little bit unwell, but also felt peaceful at the same time",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,2,3,1000,Bedroom,"Friends,Family members",Summer,chocolate pie,I hear the relaxing sound of blowing wind 
118,The Water Lily Pond,2,"I feel that I'm in the middle of the woods, inhaling fresh air.",1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,1,2,500,Living room,Family members,Summer,matcha tea,sound if frogs during a mid summer night
119,The Persistence of Memory,8,"It makes me feel like I am trapped in a strange place where time has stopped/distorted. The melting objects make me feel a bit dizzy and confused, as if reality is warping around me. It feels lonely.",5 - Strongly agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,4,3,200,Bathroom,"Coworkers/Classmates,Strangers","Summer,Fall","It would be a slice of butter that has been left out in the hot sun for too long, starting to lose its shape and texture. Or maybe a very sticky caramel candy.","A slow, warping electronic synthesizer sound with a clock ticking in a irregular speed. There is a low humming noise in the background, like distant wind in an empty desert."
119,The Starry Night,7,"This painting makes me feel incredibly peaceful and happy. The rich blue colors feel very comforting to me, not cold at all. Seeing the small, warm lights in the village houses makes me feel a sense of safety and warmth. Even though the sky is moving with wind, the bright stars make the night look magical and beautiful, not scary. It feels like a perfect, dreamy night.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,5,3,5000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Strangers,By yourself",Winter,"A dark blueberry swirl cake with bright lemon zest on top. It tastes rich, cool, and slightly sharp.","An orchestral piece with sweeping violins playing fast, repetitive notes to mimic the swirling wind, accompanied by a deep, steady cello for the sleeping village below."
119,The Water Lily Pond,4,This painting makes me feel incredibly relaxed and peaceful. It feels like taking a deep breath of fresh air in a quiet garden. The soft focus reminds me of a pleasant memory from a holiday.,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,4,1000,"Bathroom,Office,Living room,Dining room","Family members,Strangers","Spring,Summer","A fresh garden salad with light vinaigrette, or maybe a cup of herbal matcha tea. It tastes refreshing, organic, and light.","The sound of gently flowing water, frogs croaking softly in the distance, and birds chirping. Maybe a very soft piano melody playing slowly in the background."
120,The Persistence of Memory,8,"It makes me feel reflective, sad, and hopeless.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,7,3,5000,"Office,Living room","Family members,By yourself",Winter,soup,the sound of rainfall drops and ticking of a mechanical gear
120,The Starry Night,9,peaceful and gloomy,5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,5,4,"10,000","Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,mooncake,"sound of a piano, harp, and triangle"
120,The Water Lily Pond,8,relaxed and calm,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,3,"10,000","Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Spring,acai bowl,peaceful music with the sound of birds chirping
121,The Persistence of Memory,7,"I sense a strong connection with time, as the multiple clocks appeared in this artwork. I also noticed the texture of the clock is more fluid like, that conveys a sense of how time goes by quickly and unnoticeably.",2 - Disagree,3 - Neutral/Unsure,2 - Disagree,2 - Disagree,5,9,30,Office,"Friends,Family members",Fall,smoked meat,"the sound track would be like water dripping, but in a calmly manner, and also sadness involve."
121,The Starry Night,6,it make me feel calm and relax,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,5,6,"100,000",Bedroom,"Friends,Family members",Summer,cake,peaceful and calm music
121,The Water Lily Pond,4,"happy, relaxed",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,6,4,"10,000","Bedroom,Bathroom,Living room","Friends,Family members","Spring,Summer",mint,happy joyful music
122,The Persistence of Memory,8,这幅画属于现代艺术，它融合了许多不同的元素。画中有很多扭曲变形的钟表，我认为这象征着时间的流逝。黑暗则暗示着在彻底的黑暗中，如同宇宙的终结，时间变得毫无意义，一片混乱。它让我感受到虚无主义。在时间的尺度下，人类的存在和努力都显得毫无意义。,5 - Strongly agree,2 - Disagree,4 - Agree,5 - Strongly agree,5,8,5000,"Bathroom,Living room","Coworkers/Classmates,Strangers,By yourself",Winter,无味明胶,"节奏：慢

调性：小调

节奏：以均匀的八分音符为基础，穿插着几个持续音。"
122,The Starry Night,6,夜色看似黑暗而静谧，但实际上画中的每一处都躁动不安。月亮和星星闪耀，房屋灯火通明，人们尚未入睡。这幅画仿佛在漂浮，躁动不安地漂浮着。,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,2 - Disagree,3,4,50000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers",Summer,黑咖啡,"速度：中慢

整体节奏较慢

主旋律主要以级进和连奏为主。"
122,The Water Lily Pond,4,在静谧无扰的环境中，我独自漫步，欣赏着艳丽的睡莲。此时此刻，被盛开的睡莲环绕，仿佛开启了一段孤独的探索之旅，却收获了丰厚的回报。,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,50000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Spring,Clear soup Ramen,"Tempo: 80–92 BPM

Key: Major with a touch of ""borrowed minor key color"" 

Touch: Primarily legato, occasionally using short, sharp sounds"
123,The Persistence of Memory,4,"Low-energy. Strange. Abstract. Uncanny. Not disturbing though. A feeling of lifelessness? Dullness, emptiness?",5 - Strongly agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,3,$175,"Office,Dining room","Coworkers/Classmates,Strangers,By yourself",Fall,Sandwich. Loaf of bread.,Slow. Humming sounds. Background music. Acoustic guitar?
123,The Starry Night,7,"Whimsical. Magical. Cold, but not in a bad way. Calm. Sleepy? Relaxed.",3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,$250,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Winter,Croissant. Oatmeal. Ice cream.,Classical music. Music box. Xylophone. Triangle. Mystical feeling.
123,The Water Lily Pond,6,Freshness. Calm. Warmth. Refreshing. Like the shining sun. Relaxing. Peaceful.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,$200,"Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Lettuce. Salad. Vegetables. Fruits.,Flutes. Woodwinds. Violins. Birdsong.
124,The Persistence of Memory,8,I feel an immense sense of impending doom as time uncontrollably melts away without the means to stop it.,5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,6,$25,"Bedroom,Bathroom,Living room","Friends,Coworkers/Classmates,By yourself","Spring,Summer",chocolate bar,"slow melancholic violins and rain.

also add a kalimba"
124,The Starry Night,10,I feel an unnerving sense of chrysalism as the distorted sky exhibits illusionary movement over the tranquility of the village below.,5 - Strongly agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,4,"Starry night is valued in the billions, so I would be willing to pay about $150","Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Fall,blue pasta,I think the 808s and trap synths on Sicko Mode would be perfect to encapsulate the emotions that this painting conveys. Something that is vivacious and lively to create contrast with the sombre blues.
124,The Water Lily Pond,9,"This painting makes me want to recycle more often. I feel disdain for the way human-kind has polluted environments like these, poisoning wildlife with toxins and brainrot. While this painting depicts a scenery that one would typically imagine to be existant, it is missing the garbage and plastic waste that would realistically be found. I believe it describes human's effect on the environment when the painting of nature, is how it looked like before we found it.",2 - Disagree,2 - Disagree,4 - Agree,4 - Agree,2,2,$50,"Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates",Spring,A caesar salad but without the croutons,grand piano playing a lively chord progression in staccato
125,The Persistence of Memory,7,"It helps me realize the fluidity of time because of the iconic melting clocks. It makes me feel uneasy but also curious. The melting clocks and empty landscape feel dreamlike, like time is slipping away. It reminds me of how strange and unreliable memory can be. It almost makes me feel anxious, like I’m losing control of time in a haunting way.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,7,4,$700,"Bedroom,Office",Friends,Summer,A melting ice cream sundae,"A slow ambient soundtrack with echoing piano and distorted, fading tones. It feels dreamy but unsettling."
125,The Starry Night,8,"This painting makes me feel awe and wonder. The swirling sky and glowing stars feel magical and infinite, and it reminds me of why I love space so much.",2 - Disagree,5 - Strongly agree,4 - Agree,2 - Disagree,5,4,"$1,000","Living room,Dining room","Friends,Family members,By yourself",Winter,A bowl of spaghetti or ramen,"A soft and dreamy soundtrack with gentle piano and a more sparkly tone. It would feel calm, wondrous and also powerful. The music would slowly build into a wave of emotion, then settle back into quiet awe."
125,The Water Lily Pond,4,"This painting makes me feel calm and relaxed. It doesn’t evoke strong emotions, but it’s very beautiful and peaceful to look at.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,2,$500,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates",Spring,Fresh berries with honey,"The soundtrack would be soft and calming, with gentle piano and light strings. It would be slow and peaceful, and stay smooth and soothing."
126,The Persistence of Memory,4,"lost, confused, not sure of a sense of time",4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,5 - Strongly agree,4,6,150,"Office,Living room",By yourself,Fall,"local cuisine, spicy bean dish","uneasy, suspense soundtrack"
126,The Starry Night,5,"relaxed, happy, content, ",3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,500,Bedroom,By yourself,Summer,"a condensed milk cake, like tres leches",la la land soundtrack
126,The Water Lily Pond,5,"calm, serendipidous",3 - Neutral/Unsure,5 - Strongly agree,4 - Agree,2 - Disagree,3,2,200,"Living room,Dining room","Friends,Family members,Coworkers/Classmates","Spring,Summer",jello,"piano, mozart, or some kind of slow soundtrack, ballad"
127,The Persistence of Memory,5,confused,4 - Agree,2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,4,5,20,Office,By yourself,Fall,mac and cheese,sad and gloomy
127,The Starry Night,3,dizzy,1 - Strongly disagree,5 - Strongly agree,3 - Neutral/Unsure,4 - Agree,4,3,1000,Bedroom,Friends,Winter,cereal,interstellar
127,The Water Lily Pond,10,inspired,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,100,Living room,Family members,Spring,salad,butterflies in my stomach
128,The Persistence of Memory,6,"This painting makes me feel lonely, like I'm waiting for something that will never come.",5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,5,7,35,Bathroom,"Strangers,By yourself",Fall,Minced Beef,"Calm but dead sounding, and very empty (single/few tones)"
128,The Starry Night,3,Chaotic and confused,3 - Neutral/Unsure,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,3,3,15,"Bedroom,Office,Dining room","Friends,Family members",Winter,Cold Spaghetti,"Very chaotic and noisy, with many components and things playing at the same time"
128,The Water Lily Pond,5,Calm and at peace,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,2,$50,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Spring,Warm Soup,"It sounds very peaceful and calming, and makes me want to fall asleep. It's slow and helps ease and calm my mind down, and helps me drift away from all the chaotic thoughts running in my head."
129,The Persistence of Memory,8,feels exhausted,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,6,7,20,Bathroom,By yourself,Fall,burger,low sad sound
129,The Starry Night,7,confused,2 - Disagree,2 - Disagree,4 - Agree,2 - Disagree,5,3,15,Bedroom,Family members,Winter,ice cream,"calm, cold."
129,The Water Lily Pond,5,confortable,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,1,10,Living room,"Friends,Family members",Spring,salad,safe and sound
130,The Persistence of Memory,8,Powerless,4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,6,3,30,Bathroom,By yourself,Spring,Seaweed,Violin solo
130,The Starry Night,6,Calm,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,100,Bedroom,Family members,Winter,Cheese,Jazz
130,The Water Lily Pond,8,Happy,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,1,120,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Summer,Raspberry,Piano classical with light vocal
131,The Persistence of Memory,8,"existential, confused, worried, alone, anxious, stranded",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,3,5,0,Office,Family members,Fall,melted cheese and tomatoes that taste bad,"dizzy, spiralling, uneasy, incoherent"
131,The Starry Night,6,"cold, dark, waves, tired, slow",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,2,2,100000,Dining room,Family members,Winter,plum,"whooshing, powerful, blending, piano, wide range"
131,The Water Lily Pond,2,"calm, pleasant, peaceful, happy, warm",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,100,Bathroom,Friends,Summer,green apple pie,"soft, quaint, light, calm, happy, peaceful, relaxing, chimes"
132,The Persistence of Memory,7,"This painting makes me feel contemplative and heavy at first glance, but seeing the sunrise in the background gives me a sense of hope beneath the quiet loneliness.",4 - Agree,2 - Disagree,5 - Strongly agree,2 - Disagree,3,4,"800, sorry i dont value paintings that much",Bedroom,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Fall,Winter",cold roasted chicken,"Slow and quiet, with no lyrics. Deep, low notes move gradually, and over time they rise slightly, creating a gentle sense of progression without breaking the stillness."
132,The Starry Night,8,"It feels familiar, since almost everyone recognizes this artwork, but it also gives me a strong sense of warmth and comfort. The flowing movement makes it feel alive, while the colors create a calm, reassuring atmosphere.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,4,20000,Living room,"Friends,Family members,Coworkers/Classmates,Strangers",Summer,cake,"Warm, slightly detuned pads with lively, cheerful breaks. The rhythm stays light and buoyant, with a gentle lift that makes it feel vividly alive."
132,The Water Lily Pond,6,It makes me feel warm and peaceful. The colors and gentle flow bring a cozy childhood summer vibe.,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,1,2,1000,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers",Summer,watermelon,"light, bouncy rhythm, playful high notes, and warm, sunny chords underneath."
133,The Persistence of Memory,6,I feel a sense of loneliness in such world of absurdity.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,4,5,"If for a copy, 0 cad, since I can just print it. 
If for the origin, 100 cad","Bedroom,Office","Strangers,By yourself","Fall,Winter",Hamburger with a mud patty inside.,"Quiet, hollow, universe-like white noise"
133,The Starry Night,7,Calm,3 - Neutral/Unsure,3 - Neutral/Unsure,5 - Strongly agree,2 - Disagree,3,2,"Copy: 0. Original, 100$","Bedroom,Bathroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",boiled leafy greens,piano quiet and constant rhythms
133,The Water Lily Pond,9,Super relaxed,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,"Copy: 0. Original, 200$","Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Sunny side up egg,"Piano and violin, Ghibli-like rhythm"
134,The Persistence of Memory,3,The painting makes me feel curious but calm. It makes me want to stop and take a closer look at it because it's message and intent is not clear to me.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,5,50,Living room,Friends,Summer,Sandwich,The soundtrack would have quiet and calm songs without many different sounds at once. The music is a little sad and not loud or dramatic.
134,The Starry Night,3,"The painting makes me feel both calm but also a little restless. The scene is peaceful, but there is also a lot of movement in the sky, which makes me feel a little restless and curious.",4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,3,3,500,Office,By yourself,Winter,Steak,"The music in the soundtrack is slow and flowing with a continuous background sound. While the background always stays, there is also a more intense melody that plays on top of it."
134,The Water Lily Pond,2,The painting makes me feel calm and at peace. It also feels quiet and slow and gives a feeling of comfort through its stillness.,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,2,1,300,Dining room,Family members,Summer,Sushi,The soundtrack would be both serene and calm sounds combined with a large variety of different melodies that mix together.
135,The Persistence of Memory,7,"depressed, heavy",4 - Agree,2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,5,6,50,Bathroom,"Friends,Family members","Fall,Winter",popcorn,"blue, silent, strings"
135,The Starry Night,8,"fancy, curious, calm",3 - Neutral/Unsure,4 - Agree,4 - Agree,3 - Neutral/Unsure,3,4,50,"Bedroom,Dining room","Family members,Coworkers/Classmates",Summer,banana,"calm, jazz"
135,The Water Lily Pond,9,"happy, green",2 - Disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,2,60,"Office,Living room","Friends,Family members,Coworkers/Classmates,By yourself",Spring,fine food,"dynamic, happy"
136,The Persistence of Memory,6,"The first impression I have on the piece is that it gives me a feeling of a kind of abstraction, everything is abnormal and the tone is quite ""dark"", seems like a beach in an utopia world during sunset. ",3 - Neutral/Unsure,4 - Agree,2 - Disagree,5 - Strongly agree,4,7,100 bucks,Office,By yourself,Winter,tomato,it would be drums and very chill guitar just like the beginning of topgun anthem. 
136,The Starry Night,10,"it gives me a feeling of a very chill night that i'd like to spend with my girlfriend along with cocktails. I would be imagining how the stars and comits flow, feeling how large and endless the universe is. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,5,"100,000,000",Bedroom,"Friends,Family members",Summer,pasta,would be slow drums and string music which sound like jumping in different space
136,The Water Lily Pond,8,"it feels like a chill spring afternoon at the back of a big house, family members gather around and have teas and desserts. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,"175,000,000",Living room,Family members,Spring,Carbonara,it would be violin sorely with a quite warm melody
137,The Persistence of Memory,6,"Precious memories are twisted by the emotions, time and space. The irresistable natural force that changes everything retains the least important details, making all that functions no longer. The dried tears and the unreachable pond is the metaphor of desperation.",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,3,6,"10,000","Office,Dining room",By yourself,Summer,sauteed greens,"deep ambient, water-like calm music."
137,The Starry Night,9,It's a windy but warm summer night with sky full of stars. The drifting lights in the sky is the form of my joy. I have a joyful life with love and hope. ,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,2 - Disagree,3,3,"20,000","Bedroom,Living room","Friends,Family members",Summer,polpo e fagioli,joyful orchestra
137,The Water Lily Pond,3,Calm. Walking next to the pond in a spring afternoon with good sunlight. Simply enjoying the beauty of the nature and time.,1 - Strongly disagree,4 - Agree,5 - Strongly agree,2 - Disagree,1,3,"20,000",Bathroom,"Friends,Family members",Spring,seaweed shortbread,Spring - Vivaldi
138,The Persistence of Memory,8,"I feel everything is fading, and lifeless.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,4,5,100,Bathroom,Friends,Winter,bitter gourd,water slaping ground.
138,The Starry Night,6,"Calm, mysterious.",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,3,3,100000,"Bedroom,Office","Friends,Family members","Spring,Summer","Cake

 ",Wind flow through forest
